feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
3061,dna-private,511,469,42,7599,721,1.0595034434355397,0.0833882765437815,0.8076788680997686,0.9178082191780822,0.0821917808219178,1.499676973186056e-14
3062,prot-private,180,153,27,7915,736,0.526931985681196,-0.9243113384383475,0.004424193780407221,0.85,0.15,6.137591276259506e-74
3063,dna-private,15,9,6,8059,757,0.1408983744881499,-2.8272731271817046,0.0010331837664044512,0.6,0.4,6.137591276259506e-74
3064,dna-private,79,65,14,8003,749,0.4345245532925153,-1.2024903944586767,0.007943928146957567,0.8227848101265823,0.17721518987341772,6.137591276259506e-74
3066,dna-private,42,41,1,8027,762,3.8921141148623395,1.9605540098447405,0.2616948784456305,0.9761904761904762,0.023809523809523808,6.137591276259506e-74
3067,dna-private,22,19,3,8049,760,0.598003892823125,-0.7417732189283001,0.43163260794238584,0.8636363636363636,0.13636363636363635,1.3486175434808079e-64
3068,dna-private,32,32,0,8036,763,6.175262863186711,2.626500549384666,0.10839836940242864,1.0,0.0,6.137591276259506e-74
3069,shared,12,10,2,8058,761,0.47220153884338545,-1.0825253517576907,0.27814822883872553,0.8333333333333334,0.16666666666666666,1.3486175434808079e-64
3071,dna-private,46,41,5,8027,758,0.774336613927993,-0.36896723436485207,0.5937279062956088,0.8913043478260869,0.10869565217391304,6.388400221161359e-26
3072,dna-private,37,34,3,8034,760,1.0721101983237906,0.10045320281466442,1.0,0.918918918918919,0.08108108108108109,1.499676973186056e-14
3073,dna-private,131,118,13,7950,750,0.8563134978229318,-0.22378902845508777,0.5331624850951074,0.9007633587786259,0.09923664122137404,6.388400221161359e-26
3074,dna-private,217,209,8,7859,755,2.5097817788522714,1.3275619298118804,0.006604170582563441,0.9631336405529954,0.03686635944700461,6.137591276259506e-74
3076,dna-private,141,135,6,7933,757,2.1470439934451027,1.1023517526660984,0.06821199386029875,0.9574468085106383,0.0425531914893617,6.137591276259506e-74
3077,dna-private,62,54,8,8014,755,0.635918392812578,-0.6530864580548881,0.25039338604860834,0.8709677419354839,0.12903225806451613,6.137591276259506e-74
3078,dna-private,55,53,2,8015,761,2.5160948222083594,1.3311862930248344,0.23296433625348986,0.9636363636363636,0.03636363636363636,6.137591276259506e-74
3079,shared,49,41,8,8027,755,0.482044973215398,-1.0527603434361401,0.06883674654688149,0.8367346938775511,0.16326530612244897,6.137591276259506e-74
3081,dead,30,29,1,8039,762,2.7488493593730565,1.4588278473964156,0.5123772522077924,0.9666666666666667,0.03333333333333333,1.3486175434808079e-64
3082,dead,49,43,6,8025,757,0.6760332294911734,-0.5648339329303544,0.31277567193929934,0.8775510204081632,0.12244897959183673,1.3486175434808079e-64
3083,dna-private,275,265,10,7803,753,2.557285659361784,1.3546133245709802,0.0014368382169039364,0.9636363636363636,0.03636363636363636,6.137591276259506e-74
3084,dna-private,58,55,3,8013,760,1.738841049960481,0.7981260597781852,0.4820184269700901,0.9482758620689655,0.05172413793103448,1.3486175434808079e-64
3085,prot-private,334,330,4,7738,759,8.092207288705092,3.0165332762180657,3.8428573611033025e-09,0.9880239520958084,0.011976047904191617,6.137591276259506e-74
3086,prot-private,40,16,24,8052,739,0.06118562675939725,-4.030663403496345,3.51645535481077e-16,0.4,0.6,6.137591276259506e-74
3087,prot-private,23,20,3,8048,760,0.629555997349238,-0.667593387308373,0.4442764268572269,0.8695652173913043,0.13043478260869565,1.3486175434808079e-64
3088,dna-private,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.499676973186056e-14
3089,dna-private,12,9,3,8059,760,0.2829135128427845,-1.8215670088364881,0.07844382615057613,0.75,0.25,6.137591276259506e-74
3090,prot-private,181,178,3,7890,760,5.7152513730460495,2.5148169536753686,0.00013686661068166352,0.9834254143646409,0.016574585635359115,6.137591276259506e-74
3091,prot-private,49,31,18,8037,745,0.15964359282761673,-2.6470734422694484,5.232254493961716e-08,0.6326530612244898,0.3673469387755102,6.137591276259506e-74
3092,dna-private,441,427,14,7641,749,2.9897264755922,1.5800135010262863,4.782847754124246e-06,0.9682539682539683,0.031746031746031744,6.137591276259506e-74
3093,dna-private,61,57,4,8011,759,1.3501123455249033,0.4330794617856945,0.8177044872896894,0.9344262295081968,0.06557377049180328,1.499676973186056e-14
3094,prot-private,42,40,2,8028,761,1.8958644743398108,0.9228558370282908,0.5796119669598028,0.9523809523809523,0.047619047619047616,6.388400221161359e-26
3095,dna-private,21,15,6,8053,757,0.23500558797963492,-2.0892330331836377,0.007150149554175388,0.7142857142857143,0.2857142857142857,6.137591276259506e-74
3096,dna-private,91,77,14,7991,749,0.5155174571392817,-0.9559068120042884,0.035736811525631684,0.8461538461538461,0.15384615384615385,6.137591276259506e-74
3097,dna-private,45,38,7,8030,756,0.5110834371108344,-0.9683692567976228,0.10628230294690233,0.8444444444444444,0.15555555555555556,6.137591276259506e-74
3099,dna-private,101,76,25,7992,738,0.28072072072072074,-1.8327925380631613,9.889136103849818e-07,0.7524752475247525,0.24752475247524752,6.137591276259506e-74
3100,prot-private,37,29,8,8039,755,0.3404496827963677,-1.5544865058844652,0.012113037683991284,0.7837837837837838,0.21621621621621623,6.137591276259506e-74
3101,dna-private,134,133,1,7935,762,12.772022684310018,3.6749151152719675,0.00013533256780066374,0.9925373134328358,0.007462686567164179,6.137591276259506e-74
3103,dna-private,75,67,8,8001,755,0.790291838520185,-0.33954258560186856,0.5325044264423678,0.8933333333333333,0.10666666666666667,6.388400221161359e-26
3106,dna-private,50,49,1,8019,762,4.656191545080434,2.2191504086442957,0.12500179299940722,0.98,0.02,6.137591276259506e-74
3107,dna-private,37,29,8,8039,755,0.3404496827963677,-1.5544865058844652,0.012113037683991284,0.7837837837837838,0.21621621621621623,6.137591276259506e-74
3108,dna-private,384,373,11,7695,752,3.313792899757812,1.7284834420800053,4.356232824601983e-06,0.9713541666666666,0.028645833333333332,6.137591276259506e-74
3109,dna-private,10,7,3,8061,760,0.21998924864574287,-2.1844950770669267,0.04865901572148691,0.7,0.3,6.137591276259506e-74
3110,dna-private,58,56,2,8012,761,2.6595107338991513,1.411160859748442,0.2360613316860446,0.9655172413793104,0.034482758620689655,6.137591276259506e-74
3111,dna-private,37,31,6,8037,757,0.48664509974700343,-1.0390580669120846,0.13025347875770235,0.8378378378378378,0.16216216216216217,6.137591276259506e-74
3112,dna-private,31,27,4,8041,759,0.637140902872777,-0.6503156370107998,0.33798369846811566,0.8709677419354839,0.12903225806451613,1.3486175434808079e-64
3113,dna-private,113,112,1,7956,762,10.726998491704373,3.4231745487171823,0.0009994359687229152,0.9911504424778761,0.008849557522123894,6.137591276259506e-74
3114,shared,17,16,1,8052,762,1.5141579731743666,0.5985157305719824,1.0,0.9411764705882353,0.058823529411764705,8.510575869671689e-13
3115,dna-private,47,44,3,8024,760,1.3891658358258558,0.47421883563490835,0.7953470201404591,0.9361702127659575,0.06382978723404255,6.388400221161359e-26
3116,shared,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.499676973186056e-14
3117,dna-private,77,74,3,7994,760,2.345092152447669,1.2296446158182943,0.15643149207565354,0.961038961038961,0.03896103896103896,6.137591276259506e-74
3118,prot-private,417,353,64,7715,699,0.4997306383668179,-1.0007774228114805,4.170966009698267e-06,0.8465227817745803,0.15347721822541965,6.137591276259506e-74
3119,dna-private,32,31,1,8037,762,2.939156401642404,1.555402131316662,0.5203953958732317,0.96875,0.03125,6.388400221161359e-26
3120,dna-private,44,40,4,8028,759,0.945440956651719,-0.0809407310597884,0.7895081975499975,0.9090909090909091,0.09090909090909091,6.388400221161359e-26
3121,prot-private,61,54,7,8014,756,0.7277264786623409,-0.45853179010386097,0.36524814508200953,0.8852459016393442,0.11475409836065574,1.3486175434808079e-64
3122,dna-private,69,64,5,8004,758,1.2121939030484759,0.2776204913779883,0.8312801261172446,0.927536231884058,0.07246376811594203,1.499676973186056e-14
3123,dna-private,53,50,3,8018,760,1.5797788309636651,0.6597225952337458,0.6235153699202394,0.9433962264150944,0.05660377358490566,6.388400221161359e-26
3124,dead,42,38,4,8030,759,0.897945205479452,-0.15530068354562512,0.7813655501740419,0.9047619047619048,0.09523809523809523,6.388400221161359e-26
3125,dna-private,453,439,14,7629,749,3.0785817276182987,1.6222658685252427,1.8306107627050844e-06,0.9690949227373068,0.03090507726269316,6.137591276259506e-74
3126,dna-private,301,297,4,7771,759,7.252058937073736,2.858390649830898,5.518002918555147e-08,0.9867109634551495,0.013289036544850499,6.137591276259506e-74
3127,prot-private,258,221,37,7847,726,0.5526160798239299,-0.8556505531047985,0.0021681864909808383,0.8565891472868217,0.1434108527131783,6.137591276259506e-74
3128,shared,14,11,3,8057,760,0.34586901659012864,-1.5317023139427457,0.1142871290727978,0.7857142857142857,0.21428571428571427,6.137591276259506e-74
3129,dna-private,17,16,1,8052,762,1.5141579731743666,0.5985157305719824,1.0,0.9411764705882353,0.058823529411764705,1.499676973186056e-14
3130,dna-private,63,58,5,8010,758,1.0977278401997503,0.13452041111522903,1.0,0.9206349206349206,0.07936507936507936,1.499676973186056e-14
3131,dna-private,343,309,34,7759,729,0.8538888425585468,-0.2278798198040809,0.37786537283870847,0.9008746355685131,0.09912536443148688,1.3486175434808079e-64
3132,dna-private,14,12,2,8056,761,0.5667825223435948,-0.8191328237820831,0.3441645340324851,0.8571428571428571,0.14285714285714285,1.3486175434808079e-64
3133,dna-private,20,19,1,8049,762,1.798732761833768,0.8469808609552302,1.0,0.95,0.05,8.510575869671689e-13
3134,dna-private,55,54,1,8014,762,5.134514599450961,2.3602278952259925,0.08715562943947111,0.9818181818181818,0.01818181818181818,6.137591276259506e-74
3135,dna-private,30,24,6,8044,757,0.37642963699651916,-1.40954787631962,0.040320928311090076,0.8,0.2,6.137591276259506e-74
3136,dna-private,12,11,1,8057,762,1.0403375946382027,0.05705176594078467,1.0,0.9166666666666666,0.08333333333333333,8.510575869671689e-13
3137,dna-private,69,60,9,8008,754,0.6277056277056277,-0.6718399514011232,0.1936148473682484,0.8695652173913043,0.13043478260869565,6.137591276259506e-74
3138,shared,23,23,0,8045,763,4.460195140140451,2.157106831570286,0.2566084918038831,1.0,0.0,6.137591276259506e-74
3139,dna-private,39,35,4,8033,759,0.8267459230673472,-0.2744840688163277,0.5763509902567905,0.8974358974358975,0.10256410256410256,6.388400221161359e-26
3140,dna-private,47,44,3,8024,760,1.3891658358258558,0.47421883563490835,0.7953470201404591,0.9361702127659575,0.06382978723404255,6.388400221161359e-26
3141,dna-private,140,123,17,7945,746,0.6793617887683708,-0.557748019891743,0.16938995032038154,0.8785714285714286,0.12142857142857143,6.137591276259506e-74
3142,dna-private,23,18,5,8050,758,0.33898136645962734,-1.5607221231633,0.043210400933891426,0.782608695652174,0.21739130434782608,6.137591276259506e-74
