feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
166,dna-private,79,69,10,7999,753,0.6495436929616202,-0.6225015199472468,0.2224325261445549,0.8734177215189873,0.12658227848101267,0.5159923779089749
167,dna-private,12,12,0,8056,763,2.369204989759821,1.2444030296948858,0.6160300460842021,1.0,0.0,0.8877285057891666
168,dna-private,28,22,6,8046,757,0.34497472864363243,-1.5354374147237575,0.02960893992727668,0.7857142857142857,0.21428571428571427,0.13105596361253613
169,dna-private,143,135,8,7933,755,1.6060286146476743,0.6834975976139642,0.22975462236748567,0.9440559440559441,0.055944055944055944,0.5305268616671325
170,dna-private,254,243,11,7825,752,2.122985768225385,1.0860946999387782,0.012041131249734799,0.9566929133858267,0.04330708661417323,0.06900589744999354
171,dna-private,135,128,7,7940,756,1.7410579345088162,0.7999642101331484,0.16636307073345913,0.9481481481481482,0.05185185185185185,0.43131166486452366
172,dna-private,14,10,4,8058,759,0.23548026805658973,-2.0863219198457696,0.027437579526156688,0.7142857142857143,0.2857142857142857,0.1234691078677051
173,prot-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
174,dna-private,10,9,1,8059,762,0.8509740662613228,-0.2328129289529579,0.59509736615207,0.9,0.1,0.8877285057891666
175,dna-private,387,361,26,7707,737,1.3277489994111247,0.4089824422191754,0.1946386308650171,0.9328165374677002,0.06718346253229975,0.47837062722351403
176,dna-private,24,21,3,8047,760,0.6611159438299987,-0.5970247869668049,0.45796208248726505,0.875,0.125,0.771541675614701
177,dna-private,22,20,2,8048,761,0.9455765407554672,-0.08073385141461938,0.7149840631017713,0.9090909090909091,0.09090909090909091,0.929036603167421
178,dna-private,61,55,6,8013,757,0.8659886018553185,-0.207580058567031,0.6489053231268938,0.9016393442622951,0.09836065573770492,0.89997229635986
179,dna-private,39,37,2,8031,761,1.7530195492466691,0.8098420847705613,0.7717129128023361,0.9487179487179487,0.05128205128205128,0.9659188113883544
180,dna-private,44,42,2,8026,761,1.9911537503114876,0.9936046255023103,0.5852566852075065,0.9545454545454546,0.045454545454545456,0.8877285057891666
181,dna-private,33,31,2,8037,761,1.4676496205051637,0.5535075873268854,1.0,0.9393939393939394,0.06060606060606061,1.0
182,dna-private,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.0
183,dna-private,25,18,7,8050,756,0.24149068322981365,-2.0499605642835608,0.004210200824664259,0.72,0.28,0.030546178727890397
184,dna-private,44,38,6,8030,757,0.5970527189705271,-0.744069769696516,0.27219974523256757,0.8636363636363636,0.13636363636363635,0.5748128698207293
185,dna-private,62,59,3,8009,760,1.8662338202855122,0.9001297526598621,0.3681670075315167,0.9516129032258065,0.04838709677419355,0.6968809656830912
